,Pts,season,round,team,Form
174,7,2022,Matchweek 10,Crystal Palace,1
175,7,2022,Matchweek 10,West Ham,3
176,7,2022,Matchweek 10,Southampton,0
177,6,2022,Matchweek 10,Wolves,0
178,4,2022,Matchweek 10,Leicester,3
179,4,2022,Matchweek 10,Nottm Forest,0
180,27,2022,Matchweek 11,Arsenal,9
181,26,2022,Matchweek 11,Man City,9
182,20,2022,Matchweek 11,Tottenham,6
183,17,2022,Matchweek 11,Brighton,4
184,17,2022,Matchweek 11,Man Utd,4
185,16,2022,Matchweek 11,Chelsea,6
186,14,2022,Matchweek 11,Newcastle,7
187,14,2022,Matchweek 11,Fulham,3
188,13,2022,Matchweek 11,Liverpool,4
189,13,2022,Matchweek 11,Brentford,1
190,12,2022,Matchweek 11,Bournemouth,5
191,10,2022,Matchweek 11,Leeds,2
192,10,2022,Matchweek 11,West Ham,6
193,10,2022,Matchweek 11,Crystal Palace,3
194,10,2022,Matchweek 11,Everton,6
195,9,2022,Matchweek 11,Aston Villa,5
196,7,2022,Matchweek 11,Southampton,0
197,6,2022,Matchweek 11,Wolves,0
198,5,2022,Matchweek 11,Nottm Forest,1
199,4,2022,Matchweek 11,Leicester,3
200,30,2022,Matchweek 12,Arsenal,9
201,26,2022,Matchweek 12,Man City,6
202,23,2022,Matchweek 12,Tottenham,6
203,19,2022,Matchweek 12,Chelsea,9
204,18,2022,Matchweek 12,Man Utd,4
205,17,2022,Matchweek 12,Brighton,1
206,16,2022,Matchweek 12,Liverpool,4
207,16,2022,Matchweek 12,Brentford,4
208,15,2022,Matchweek 12,Newcastle,7
209,15,2022,Matchweek 12,Fulham,1
210,13,2022,Matchweek 12,Bournemouth,5
211,11,2022,Matchweek 12,West Ham,7
212,11,2022,Matchweek 12,Crystal Palace,4
213,10,2022,Matchweek 12,Leeds,1
214,10,2022,Matchweek 12,Everton,3
215,9,2022,Matchweek 12,Aston Villa,2
216,9,2022,Matchweek 12,Wolves,3
217,8,2022,Matchweek 12,Southampton,1
218,5,2022,Matchweek 12,Leicester,4
219,5,2022,Matchweek 12,Nottm Forest,1
220,30,2022,Matchweek 13,Arsenal,6
221,29,2022,Matchweek 13,Man City,6
222,23,2022,Matchweek 13,Tottenham,6
223,21,2022,Matchweek 13,Man Utd,7
224,20,2022,Matchweek 13,Chelsea,7
225,19,2022,Matchweek 13,Liverpool,6
226,18,2022,Matchweek 13,Newcastle,7
227,18,2022,Matchweek 13,Brighton,1
