,Pts,season,round,team,Form
1227,49,2021,Matchweek 35,Wolves,0
1228,46,2021,Matchweek 35,Leicester,4
1229,43,2021,Matchweek 35,Newcastle,9
1230,41,2021,Matchweek 35,Brighton,7
1231,40,2021,Matchweek 35,Brentford,7
1232,40,2021,Matchweek 35,Southampton,4
1233,38,2021,Matchweek 35,Crystal Palace,1
1234,38,2021,Matchweek 35,Aston Villa,1
1235,34,2021,Matchweek 35,Leeds,4
1236,33,2021,Matchweek 35,Everton,6
1237,32,2021,Matchweek 35,Burnley,4
1238,23,2021,Matchweek 35,Watford,0
1239,21,2021,Matchweek 35,Norwich,3
1240,86,2021,Matchweek 36,Man City,9
1241,85,2021,Matchweek 36,Liverpool,9
1242,69,2021,Matchweek 36,Chelsea,6
1243,64,2021,Matchweek 36,Tottenham,4
1244,63,2021,Matchweek 36,Arsenal,6
1245,57,2021,Matchweek 36,Man Utd,6
1246,52,2021,Matchweek 36,West Ham,1
1247,49,2021,Matchweek 36,Wolves,0
1248,46,2021,Matchweek 36,Leicester,1
1249,44,2021,Matchweek 36,Brighton,7
1250,43,2021,Matchweek 36,Newcastle,6
1251,41,2021,Matchweek 36,Crystal Palace,4
1252,41,2021,Matchweek 36,Aston Villa,4
1253,40,2021,Matchweek 36,Brentford,4
1254,40,2021,Matchweek 36,Southampton,4
1255,36,2021,Matchweek 36,Everton,6
1256,35,2021,Matchweek 36,Burnley,7
1257,34,2021,Matchweek 36,Leeds,1
1258,23,2021,Matchweek 36,Watford,0
1259,21,2021,Matchweek 36,Norwich,0
1260,89,2021,Matchweek 37,Man City,9
1261,86,2021,Matchweek 37,Liverpool,7
1262,70,2021,Matchweek 37,Chelsea,4
1263,66,2021,Matchweek 37,Arsenal,9
1264,65,2021,Matchweek 37,Tottenham,5
1265,57,2021,Matchweek 37,Man Utd,3
1266,55,2021,Matchweek 37,West Ham,3
1267,50,2021,Matchweek 37,Wolves,1
1268,47,2021,Matchweek 37,Brighton,7
1269,46,2021,Matchweek 37,Leicester,1
1270,44,2021,Matchweek 37,Crystal Palace,7
1271,44,2021,Matchweek 37,Aston Villa,7
1272,43,2021,Matchweek 37,Brentford,4
1273,43,2021,Matchweek 37,Newcastle,3
1274,40,2021,Matchweek 37,Southampton,1
1275,39,2021,Matchweek 37,Everton,6
1276,35,2021,Matchweek 37,Burnley,6
1277,34,2021,Matchweek 37,Leeds,1
1278,23,2021,Matchweek 37,Watford,0
1279,21,2021,Matchweek 37,Norwich,0
1280,90,2021,Matchweek 38,Man City,7
1281,89,2021,Matchweek 38,Liverpool,7
1282,71,2021,Matchweek 38,Chelsea,2
1283,68,2021,Matchweek 38,Tottenham,7
1284,66,2021,Matchweek 38,Arsenal,6
1285,58,2021,Matchweek 38,Man Utd,4
1286,56,2021,Matchweek 38,West Ham,4
1287,51,2021,Matchweek 38,Wolves,2
1288,49,2021,Matchweek 38,Leicester,3
1289,48,2021,Matchweek 38,Brighton,7
1290,46,2021,Matchweek 38,Brentford,6
1291,46,2021,Matchweek 38,Newcastle,3
1292,45,2021,Matchweek 38,Crystal Palace,7
1293,45,2021,Matchweek 38,Aston Villa,7
1294,40,2021,Matchweek 38,Southampton,0
1295,39,2021,Matchweek 38,Everton,6
1296,35,2021,Matchweek 38,Burnley,3
1297,35,2021,Matchweek 38,Leeds,1
1298,23,2021,Matchweek 38,Watford,0
1299,22,2021,Matchweek 38,Norwich,1
1300,93,2021,Matchweek 39,Man City,7
1301,92,2021,Matchweek 39,Liverpool,7
1302,74,2021,Matchweek 39,Chelsea,5
1303,71,2021,Matchweek 39,Tottenham,7
1304,69,2021,Matchweek 39,Arsenal,6
1305,58,2021,Matchweek 39,Man Utd,1
1306,56,2021,Matchweek 39,West Ham,4
1307,52,2021,Matchweek 39,Leicester,6
1308,51,2021,Matchweek 39,Brighton,7
1309,51,2021,Matchweek 39,Wolves,2
1310,49,2021,Matchweek 39,Newcastle,6
1311,48,2021,Matchweek 39,Crystal Palace,7
1312,46,2021,Matchweek 39,Brentford,6
1313,45,2021,Matchweek 39,Aston Villa,4
1314,40,2021,Matchweek 39,Southampton,0
1315,39,2021,Matchweek 39,Everton,3
1316,38,2021,Matchweek 39,Leeds,4
1317,35,2021,Matchweek 39,Burnley,0
1318,23,2021,Matchweek 39,Watford,0
1319,22,2021,Matchweek 39,Norwich,1
1320,3,2020,Matchweek 2,Arsenal,3
1321,3,2020,Matchweek 2,Leicester,3
1322,3,2020,Matchweek 2,Chelsea,3
1323,3,2020,Matchweek 2,Man City,3
1324,3,2020,Matchweek 2,Newcastle,3
1325,3,2020,Matchweek 2,Wolves,3
1326,3,2020,Matchweek 2,Liverpool,3
1327,3,2020,Matchweek 2,Crystal Palace,3
1328,3,2020,Matchweek 2,Everton,3
1329,3,2020,Matchweek 2,Man Utd,3
1330,0,2020,Matchweek 2,Leeds,0
1331,0,2020,Matchweek 2,Burnley,0
1332,0,2020,Matchweek 2,Southampton,0
1333,0,2020,Matchweek 2,Tottenham,0
1334,0,2020,Matchweek 2,Brighton,0
1335,0,2020,Matchweek 2,Aston Villa,0
1336,0,2020,Matchweek 2,Sheff Utd,0
1337,0,2020,Matchweek 2,West Ham,0
1338,0,2020,Matchweek 2,Fulham,0
1339,0,2020,Matchweek 2,West Brom,0
1340,6,2020,Matchweek 3,Leicester,6
1341,6,2020,Matchweek 3,Everton,6
1342,6,2020,Matchweek 3,Arsenal,6
1343,6,2020,Matchweek 3,Man City,6
1344,6,2020,Matchweek 3,Liverpool,6
1345,6,2020,Matchweek 3,Crystal Palace,6
1346,3,2020,Matchweek 3,Tottenham,3
1347,3,2020,Matchweek 3,Brighton,3
1348,3,2020,Matchweek 3,Leeds,3
1349,3,2020,Matchweek 3,Chelsea,3
1350,3,2020,Matchweek 3,Wolves,3
1351,3,2020,Matchweek 3,Man Utd,3
1352,3,2020,Matchweek 3,Newcastle,3
1353,3,2020,Matchweek 3,Aston Villa,3
1354,0,2020,Matchweek 3,Burnley,0
1355,0,2020,Matchweek 3,West Ham,0
1356,0,2020,Matchweek 3,Sheff Utd,0
1357,0,2020,Matchweek 3,Fulham,0
1358,0,2020,Matchweek 3,Southampton,0
1359,0,2020,Matchweek 3,West Brom,0
1360,9,2020,Matchweek 4,Leicester,9
1361,9,2020,Matchweek 4,Liverpool,9
1362,9,2020,Matchweek 4,Everton,9
1363,6,2020,Matchweek 4,Arsenal,6
1364,6,2020,Matchweek 4,Crystal Palace,6
1365,6,2020,Matchweek 4,Aston Villa,6
1366,6,2020,Matchweek 4,Leeds,6
1367,6,2020,Matchweek 4,Man City,6
1368,6,2020,Matchweek 4,Man Utd,6
1369,4,2020,Matchweek 4,Tottenham,4
1370,4,2020,Matchweek 4,Chelsea,4
1371,4,2020,Matchweek 4,Newcastle,4
1372,3,2020,Matchweek 4,West Ham,3
1373,3,2020,Matchweek 4,Brighton,3
1374,3,2020,Matchweek 4,Southampton,3
1375,3,2020,Matchweek 4,Wolves,3
1376,1,2020,Matchweek 4,West Brom,1
1377,0,2020,Matchweek 4,Burnley,0
1378,0,2020,Matchweek 4,Sheff Utd,0
1379,0,2020,Matchweek 4,Fulham,0
1380,12,2020,Matchweek 5,Everton,9
1381,9,2020,Matchweek 5,Aston Villa,9
1382,9,2020,Matchweek 5,Leicester,6
1383,9,2020,Matchweek 5,Arsenal,6
1384,9,2020,Matchweek 5,Liverpool,6
1385,7,2020,Matchweek 5,Tottenham,7
1386,7,2020,Matchweek 5,Chelsea,4
1387,7,2020,Matchweek 5,Leeds,7
1388,7,2020,Matchweek 5,Man City,4
1389,7,2020,Matchweek 5,Newcastle,4
1390,6,2020,Matchweek 5,West Ham,6
1391,6,2020,Matchweek 5,Southampton,6
1392,6,2020,Matchweek 5,Crystal Palace,3
1393,6,2020,Matchweek 5,Wolves,3
1394,6,2020,Matchweek 5,Man Utd,3
1395,3,2020,Matchweek 5,Brighton,3
1396,1,2020,Matchweek 5,West Brom,1
1397,0,2020,Matchweek 5,Sheff Utd,0
1398,0,2020,Matchweek 5,Burnley,0
1399,0,2020,Matchweek 5,Fulham,0
1400,13,2020,Matchweek 6,Everton,7
1401,12,2020,Matchweek 6,Aston Villa,9
1402,10,2020,Matchweek 6,Man City,4
1403,10,2020,Matchweek 6,Liverpool,4
1404,9,2020,Matchweek 6,Leicester,3
1405,9,2020,Matchweek 6,Arsenal,3
1406,9,2020,Matchweek 6,Man Utd,6
1407,9,2020,Matchweek 6,Wolves,6
1408,8,2020,Matchweek 6,Tottenham,5
1409,8,2020,Matchweek 6,Chelsea,5
1410,7,2020,Matchweek 6,West Ham,7
1411,7,2020,Matchweek 6,Leeds,4
1412,7,2020,Matchweek 6,Southampton,7
1413,7,2020,Matchweek 6,Newcastle,4
1414,7,2020,Matchweek 6,Crystal Palace,1
1415,4,2020,Matchweek 6,Brighton,1
1416,2,2020,Matchweek 6,West Brom,2
1417,1,2020,Matchweek 6,Sheff Utd,1
1418,1,2020,Matchweek 6,Burnley,1
1419,1,2020,Matchweek 6,Fulham,1
1420,13,2020,Matchweek 7,Everton,4
1421,13,2020,Matchweek 7,Liverpool,4
1422,12,2020,Matchweek 7,Leicester,3
1423,12,2020,Matchweek 7,Aston Villa,6
1424,11,2020,Matchweek 7,Tottenham,7
1425,11,2020,Matchweek 7,Man City,5
1426,10,2020,Matchweek 7,Leeds,4
1427,10,2020,Matchweek 7,Southampton,7
1428,10,2020,Matchweek 7,Crystal Palace,4
1429,10,2020,Matchweek 7,Man Utd,4
1430,10,2020,Matchweek 7,Wolves,7
1431,9,2020,Matchweek 7,Chelsea,5
1432,9,2020,Matchweek 7,Arsenal,3
1433,8,2020,Matchweek 7,West Ham,5
1434,8,2020,Matchweek 7,Newcastle,4
1435,5,2020,Matchweek 7,Brighton,2
1436,3,2020,Matchweek 7,West Brom,2
1437,1,2020,Matchweek 7,Sheff Utd,1
1438,1,2020,Matchweek 7,Burnley,1
1439,1,2020,Matchweek 7,Fulham,1
1440,16,2020,Matchweek 8,Liverpool,7
1441,15,2020,Matchweek 8,Leicester,6
1442,14,2020,Matchweek 8,Tottenham,7
1443,14,2020,Matchweek 8,Man City,7
1444,13,2020,Matchweek 8,Everton,1
1445,13,2020,Matchweek 8,Southampton,7
1446,13,2020,Matchweek 8,Wolves,7
1447,12,2020,Matchweek 8,Chelsea,5
1448,12,2020,Matchweek 8,Aston Villa,3
1449,12,2020,Matchweek 8,Arsenal,3
1450,11,2020,Matchweek 8,Newcastle,4
1451,10,2020,Matchweek 8,Leeds,3
1452,10,2020,Matchweek 8,Man Utd,4
1453,10,2020,Matchweek 8,Crystal Palace,4
1454,8,2020,Matchweek 8,West Ham,2
1455,5,2020,Matchweek 8,Brighton,2
1456,4,2020,Matchweek 8,Fulham,4
1457,3,2020,Matchweek 8,West Brom,2
1458,1,2020,Matchweek 8,Sheff Utd,1
1459,1,2020,Matchweek 8,Burnley,1
1460,18,2020,Matchweek 9,Leicester,9
1461,17,2020,Matchweek 9,Tottenham,9
1462,17,2020,Matchweek 9,Liverpool,7
1463,16,2020,Matchweek 9,Southampton,9
1464,15,2020,Matchweek 9,Chelsea,7
1465,15,2020,Matchweek 9,Aston Villa,3
1466,15,2020,Matchweek 9,Man City,5
1467,13,2020,Matchweek 9,Everton,0
1468,13,2020,Matchweek 9,Crystal Palace,6
1469,13,2020,Matchweek 9,Man Utd,4
1470,13,2020,Matchweek 9,Wolves,4
1471,12,2020,Matchweek 9,Arsenal,3
1472,11,2020,Matchweek 9,West Ham,4
1473,11,2020,Matchweek 9,Newcastle,4
1474,10,2020,Matchweek 9,Leeds,3
1475,6,2020,Matchweek 9,Brighton,2
1476,4,2020,Matchweek 9,Fulham,3
1477,3,2020,Matchweek 9,West Brom,1
1478,2,2020,Matchweek 9,Burnley,1
1479,1,2020,Matchweek 9,Sheff Utd,0
1480,20,2020,Matchweek 10,Tottenham,9
1481,20,2020,Matchweek 10,Liverpool,7
1482,18,2020,Matchweek 10,Chelsea,9
1483,18,2020,Matchweek 10,Leicester,6
1484,17,2020,Matchweek 10,Southampton,7
1485,16,2020,Matchweek 10,Everton,3
1486,16,2020,Matchweek 10,Man Utd,6
1487,15,2020,Matchweek 10,Aston Villa,3
1488,15,2020,Matchweek 10,Man City,4
1489,14,2020,Matchweek 10,West Ham,6
1490,14,2020,Matchweek 10,Wolves,4
1491,13,2020,Matchweek 10,Crystal Palace,3
1492,13,2020,Matchweek 10,Arsenal,4
1493,11,2020,Matchweek 10,Leeds,1
1494,11,2020,Matchweek 10,Newcastle,3
1495,9,2020,Matchweek 10,Brighton,4
1496,5,2020,Matchweek 10,Burnley,4
1497,4,2020,Matchweek 10,Fulham,3
1498,3,2020,Matchweek 10,West Brom,0
1499,1,2020,Matchweek 10,Sheff Utd,0
1500,21,2020,Matchweek 11,Tottenham,7
1501,21,2020,Matchweek 11,Liverpool,5
1502,19,2020,Matchweek 11,Chelsea,7
1503,19,2020,Matchweek 11,Man Utd,9
1504,18,2020,Matchweek 11,Man City,4
1505,18,2020,Matchweek 11,Leicester,3
1506,17,2020,Matchweek 11,West Ham,9
1507,17,2020,Matchweek 11,Southampton,4
1508,17,2020,Matchweek 11,Wolves,4
1509,16,2020,Matchweek 11,Everton,3
1510,15,2020,Matchweek 11,Aston Villa,3
1511,14,2020,Matchweek 11,Leeds,4
1512,14,2020,Matchweek 11,Newcastle,3
1513,13,2020,Matchweek 11,Arsenal,1
1514,13,2020,Matchweek 11,Crystal Palace,3
1515,10,2020,Matchweek 11,Brighton,5
1516,7,2020,Matchweek 11,Fulham,3
1517,6,2020,Matchweek 11,West Brom,3
1518,5,2020,Matchweek 11,Burnley,4
1519,1,2020,Matchweek 11,Sheff Utd,0
1520,24,2020,Matchweek 12,Tottenham,7
1521,24,2020,Matchweek 12,Liverpool,7
1522,22,2020,Matchweek 12,Chelsea,7
1523,22,2020,Matchweek 12,Man Utd,9
1524,21,2020,Matchweek 12,Man City,6
1525,21,2020,Matchweek 12,Leicester,3
1526,20,2020,Matchweek 12,Southampton,4
1527,18,2020,Matchweek 12,Aston Villa,3
1528,17,2020,Matchweek 12,West Ham,6
1529,17,2020,Matchweek 12,Everton,4
1530,17,2020,Matchweek 12,Wolves,4
1531,16,2020,Matchweek 12,Crystal Palace,3
1532,14,2020,Matchweek 12,Leeds,4
1533,14,2020,Matchweek 12,Newcastle,3
1534,13,2020,Matchweek 12,Arsenal,1
1535,10,2020,Matchweek 12,Brighton,4
1536,7,2020,Matchweek 12,Fulham,3
1537,6,2020,Matchweek 12,Burnley,4
1538,6,2020,Matchweek 12,West Brom,3
1539,1,2020,Matchweek 12,Sheff Utd,0
1540,25,2020,Matchweek 13,Tottenham,5
1541,25,2020,Matchweek 13,Liverpool,5
1542,24,2020,Matchweek 13,Leicester,6
1543,23,2020,Matchweek 13,Southampton,6
1544,23,2020,Matchweek 13,Man Utd,7
1545,22,2020,Matchweek 13,Chelsea,4
1546,22,2020,Matchweek 13,Man City,7
1547,21,2020,Matchweek 13,Aston Villa,6
1548,20,2020,Matchweek 13,West Ham,6
1549,20,2020,Matchweek 13,Everton,4
1550,17,2020,Matchweek 13,Crystal Palace,4
1551,17,2020,Matchweek 13,Newcastle,6
1552,17,2020,Matchweek 13,Wolves,3
1553,14,2020,Matchweek 13,Leeds,3
1554,13,2020,Matchweek 13,Arsenal,0
1555,10,2020,Matchweek 13,Brighton,1
1556,9,2020,Matchweek 13,Burnley,4
1557,8,2020,Matchweek 13,Fulham,4
1558,6,2020,Matchweek 13,West Brom,3
1559,1,2020,Matchweek 13,Sheff Utd,0
1560,28,2020,Matchweek 14,Liverpool,7
1561,26,2020,Matchweek 14,Man Utd,7
1562,25,2020,Matchweek 14,Tottenham,4
1563,24,2020,Matchweek 14,Southampton,7
1564,24,2020,Matchweek 14,Leicester,6
1565,23,2020,Matchweek 14,Man City,5
1566,23,2020,Matchweek 14,Everton,7
1567,22,2020,Matchweek 14,Chelsea,3
1568,22,2020,Matchweek 14,Aston Villa,7
1569,21,2020,Matchweek 14,West Ham,4
1570,20,2020,Matchweek 14,Wolves,3
1571,18,2020,Matchweek 14,Crystal Palace,5
1572,17,2020,Matchweek 14,Leeds,3
1573,17,2020,Matchweek 14,Newcastle,3
1574,14,2020,Matchweek 14,Arsenal,1
1575,11,2020,Matchweek 14,Brighton,1
1576,10,2020,Matchweek 14,Burnley,5
1577,9,2020,Matchweek 14,Fulham,2
1578,7,2020,Matchweek 14,West Brom,1
1579,1,2020,Matchweek 14,Sheff Utd,0
1580,31,2020,Matchweek 15,Liverpool,7
1581,29,2020,Matchweek 15,Man Utd,7
1582,27,2020,Matchweek 15,Leicester,6
1583,26,2020,Matchweek 15,Man City,5
1584,26,2020,Matchweek 15,Everton,9
1585,25,2020,Matchweek 15,Chelsea,3
1586,25,2020,Matchweek 15,Aston Villa,7
1587,25,2020,Matchweek 15,Tottenham,1
1588,24,2020,Matchweek 15,Southampton,4
1589,21,2020,Matchweek 15,West Ham,4
1590,20,2020,Matchweek 15,Wolves,3
1591,18,2020,Matchweek 15,Crystal Palace,2
1592,18,2020,Matchweek 15,Newcastle,4
1593,17,2020,Matchweek 15,Leeds,3
1594,14,2020,Matchweek 15,Arsenal,1
1595,13,2020,Matchweek 15,Burnley,7
1596,12,2020,Matchweek 15,Brighton,2
1597,10,2020,Matchweek 15,Fulham,3
1598,7,2020,Matchweek 15,West Brom,1
1599,2,2020,Matchweek 15,Sheff Utd,1
1600,32,2020,Matchweek 16,Liverpool,7
1601,30,2020,Matchweek 16,Man Utd,7
1602,29,2020,Matchweek 16,Man City,7
1603,29,2020,Matchweek 16,Everton,9
1604,28,2020,Matchweek 16,Aston Villa,7
1605,28,2020,Matchweek 16,Leicester,4
1606,26,2020,Matchweek 16,Tottenham,1
1607,25,2020,Matchweek 16,Chelsea,3
1608,25,2020,Matchweek 16,Southampton,2
1609,22,2020,Matchweek 16,West Ham,2
1610,21,2020,Matchweek 16,Wolves,4
1611,20,2020,Matchweek 16,Leeds,6
1612,18,2020,Matchweek 16,Crystal Palace,1
1613,18,2020,Matchweek 16,Newcastle,1
1614,17,2020,Matchweek 16,Arsenal,4
1615,13,2020,Matchweek 16,Brighton,3
1616,13,2020,Matchweek 16,Burnley,4
1617,11,2020,Matchweek 16,Fulham,3
1618,8,2020,Matchweek 16,West Brom,2
1619,2,2020,Matchweek 16,Sheff Utd,1
1620,33,2020,Matchweek 17,Liverpool,5
1621,33,2020,Matchweek 17,Man Utd,7
1622,32,2020,Matchweek 17,Man City,9
1623,29,2020,Matchweek 17,Aston Villa,7
1624,29,2020,Matchweek 17,Leicester,5
1625,29,2020,Matchweek 17,Everton,6
1626,27,2020,Matchweek 17,Tottenham,2
1627,26,2020,Matchweek 17,Chelsea,4
1628,26,2020,Matchweek 17,Southampton,2
1629,23,2020,Matchweek 17,West Ham,2
1630,23,2020,Matchweek 17,Leeds,6
1631,21,2020,Matchweek 17,Wolves,1
1632,20,2020,Matchweek 17,Arsenal,6
1633,19,2020,Matchweek 17,Crystal Palace,1
1634,19,2020,Matchweek 17,Newcastle,2
1635,16,2020,Matchweek 17,Burnley,6
1636,13,2020,Matchweek 17,Brighton,2
1637,12,2020,Matchweek 17,Fulham,3
1638,8,2020,Matchweek 17,West Brom,1
1639,2,2020,Matchweek 17,Sheff Utd,1
1640,36,2020,Matchweek 18,Man Utd,7
1641,35,2020,Matchweek 18,Man City,9
1642,33,2020,Matchweek 18,Liverpool,2
1643,32,2020,Matchweek 18,Leicester,5
1644,30,2020,Matchweek 18,Tottenham,5
1645,29,2020,Matchweek 18,Aston Villa,4
1646,29,2020,Matchweek 18,Southampton,5
1647,29,2020,Matchweek 18,Everton,3
1648,26,2020,Matchweek 18,Chelsea,1
1649,26,2020,Matchweek 18,West Ham,5
1650,23,2020,Matchweek 18,Arsenal,9
1651,23,2020,Matchweek 18,Leeds,6
1652,22,2020,Matchweek 18,Wolves,2
1653,22,2020,Matchweek 18,Crystal Palace,4
1654,19,2020,Matchweek 18,Newcastle,1
1655,17,2020,Matchweek 18,Burnley,4
1656,14,2020,Matchweek 18,Brighton,2
1657,13,2020,Matchweek 18,Fulham,3
1658,8,2020,Matchweek 18,West Brom,1
1659,2,2020,Matchweek 18,Sheff Utd,0
1660,39,2020,Matchweek 19,Man Utd,9
1661,38,2020,Matchweek 19,Man City,9
1662,35,2020,Matchweek 19,Leicester,7
1663,33,2020,Matchweek 19,Tottenham,7
1664,33,2020,Matchweek 19,Liverpool,1
1665,32,2020,Matchweek 19,Everton,3
1666,29,2020,Matchweek 19,Aston Villa,1
1667,29,2020,Matchweek 19,Southampton,4
1668,29,2020,Matchweek 19,West Ham,7
1669,26,2020,Matchweek 19,Chelsea,1
1670,26,2020,Matchweek 19,Leeds,6
1671,24,2020,Matchweek 19,Arsenal,7
1672,23,2020,Matchweek 19,Crystal Palace,5
1673,22,2020,Matchweek 19,Wolves,1
1674,20,2020,Matchweek 19,Burnley,7
1675,19,2020,Matchweek 19,Newcastle,1
1676,14,2020,Matchweek 19,Brighton,1
1677,13,2020,Matchweek 19,Fulham,2
1678,8,2020,Matchweek 19,West Brom,0
1679,5,2020,Matchweek 19,Sheff Utd,3
1680,41,2020,Matchweek 20,Man City,9
1681,40,2020,Matchweek 20,Man Utd,7
1682,38,2020,Matchweek 20,Leicester,9
1683,36,2020,Matchweek 20,Tottenham,9
1684,34,2020,Matchweek 20,Liverpool,1
1685,33,2020,Matchweek 20,Everton,4
1686,32,2020,Matchweek 20,West Ham,9
1687,30,2020,Matchweek 20,Aston Villa,1
1688,29,2020,Matchweek 20,Chelsea,3
1689,29,2020,Matchweek 20,Southampton,3
1690,27,2020,Matchweek 20,Arsenal,7
1691,26,2020,Matchweek 20,Leeds,3
1692,23,2020,Matchweek 20,Crystal Palace,4
1693,22,2020,Matchweek 20,Wolves,1
1694,20,2020,Matchweek 20,Burnley,4
1695,19,2020,Matchweek 20,Newcastle,0
1696,17,2020,Matchweek 20,Brighton,4
1697,13,2020,Matchweek 20,Fulham,1
1698,11,2020,Matchweek 20,West Brom,3
1699,5,2020,Matchweek 20,Sheff Utd,3
1700,44,2020,Matchweek 21,Man City,9
1701,40,2020,Matchweek 21,Man Utd,4
1702,39,2020,Matchweek 21,Leicester,7
1703,37,2020,Matchweek 21,Liverpool,4
1704,36,2020,Matchweek 21,Tottenham,6
1705,35,2020,Matchweek 21,West Ham,9
1706,34,2020,Matchweek 21,Everton,5
1707,30,2020,Matchweek 21,Aston Villa,1
1708,30,2020,Matchweek 21,Chelsea,4
1709,30,2020,Matchweek 21,Arsenal,7
1710,29,2020,Matchweek 21,Leeds,6
1711,29,2020,Matchweek 21,Southampton,0
1712,23,2020,Matchweek 21,Wolves,1
1713,23,2020,Matchweek 21,Burnley,6
1714,23,2020,Matchweek 21,Crystal Palace,1
1715,19,2020,Matchweek 21,Newcastle,0
1716,18,2020,Matchweek 21,Brighton,4
1717,14,2020,Matchweek 21,Fulham,1
1718,11,2020,Matchweek 21,West Brom,3
1719,8,2020,Matchweek 21,Sheff Utd,6
1720,47,2020,Matchweek 22,Man City,9
1721,41,2020,Matchweek 22,Man Utd,2
1722,40,2020,Matchweek 22,Liverpool,7
1723,39,2020,Matchweek 22,Leicester,4
1724,36,2020,Matchweek 22,Tottenham,3
1725,35,2020,Matchweek 22,West Ham,6
1726,34,2020,Matchweek 22,Everton,2
1727,33,2020,Matchweek 22,Chelsea,7
1728,33,2020,Matchweek 22,Aston Villa,4
1729,32,2020,Matchweek 22,Leeds,6
1730,31,2020,Matchweek 22,Arsenal,7
1731,29,2020,Matchweek 22,Southampton,0
1732,26,2020,Matchweek 22,Crystal Palace,3
1733,23,2020,Matchweek 22,Wolves,1
1734,23,2020,Matchweek 22,Burnley,3
1735,22,2020,Matchweek 22,Newcastle,3
1736,21,2020,Matchweek 22,Brighton,7
1737,15,2020,Matchweek 22,Fulham,2
1738,12,2020,Matchweek 22,West Brom,4
1739,8,2020,Matchweek 22,Sheff Utd,3
1740,50,2020,Matchweek 23,Man City,9
1741,44,2020,Matchweek 23,Man Utd,4
1742,42,2020,Matchweek 23,Leicester,4
1743,40,2020,Matchweek 23,Liverpool,6
1744,38,2020,Matchweek 23,West Ham,6
1745,37,2020,Matchweek 23,Everton,4
1746,36,2020,Matchweek 23,Tottenham,0
1747,36,2020,Matchweek 23,Chelsea,7
1748,33,2020,Matchweek 23,Aston Villa,3
1749,32,2020,Matchweek 23,Leeds,6
1750,31,2020,Matchweek 23,Arsenal,4
1751,29,2020,Matchweek 23,Crystal Palace,6
1752,29,2020,Matchweek 23,Southampton,0
1753,26,2020,Matchweek 23,Wolves,4
1754,24,2020,Matchweek 23,Brighton,7
1755,23,2020,Matchweek 23,Burnley,3
1756,22,2020,Matchweek 23,Newcastle,3
1757,15,2020,Matchweek 23,Fulham,2
1758,12,2020,Matchweek 23,West Brom,1
1759,11,2020,Matchweek 23,Sheff Utd,6
1760,53,2020,Matchweek 24,Man City,9
1761,45,2020,Matchweek 24,Man Utd,5
1762,43,2020,Matchweek 24,Leicester,4
1763,40,2020,Matchweek 24,Liverpool,3
1764,39,2020,Matchweek 24,Tottenham,3
1765,39,2020,Matchweek 24,Chelsea,9
1766,39,2020,Matchweek 24,West Ham,4
1767,38,2020,Matchweek 24,Everton,4
1768,36,2020,Matchweek 24,Aston Villa,6
1769,35,2020,Matchweek 24,Leeds,6
1770,31,2020,Matchweek 24,Arsenal,1
1771,29,2020,Matchweek 24,Southampton,0
1772,29,2020,Matchweek 24,Crystal Palace,6
1773,27,2020,Matchweek 24,Wolves,4
1774,25,2020,Matchweek 24,Brighton,7
1775,25,2020,Matchweek 24,Newcastle,6
1776,24,2020,Matchweek 24,Burnley,1
1777,16,2020,Matchweek 24,Fulham,2
1778,12,2020,Matchweek 24,West Brom,1
1779,11,2020,Matchweek 24,Sheff Utd,3
1780,56,2020,Matchweek 25,Man City,9
1781,46,2020,Matchweek 25,Man Utd,5
1782,46,2020,Matchweek 25,Leicester,7
1783,42,2020,Matchweek 25,Chelsea,9
1784,42,2020,Matchweek 25,West Ham,7
1785,40,2020,Matchweek 25,Liverpool,0
1786,39,2020,Matchweek 25,Tottenham,3
1787,38,2020,Matchweek 25,Everton,4
1788,37,2020,Matchweek 25,Aston Villa,4
1789,35,2020,Matchweek 25,Leeds,3
1790,34,2020,Matchweek 25,Arsenal,3
1791,30,2020,Matchweek 25,Wolves,7
1792,29,2020,Matchweek 25,Southampton,0
1793,29,2020,Matchweek 25,Crystal Palace,3
1794,27,2020,Matchweek 25,Burnley,4
1795,26,2020,Matchweek 25,Brighton,5
1796,25,2020,Matchweek 25,Newcastle,3
1797,19,2020,Matchweek 25,Fulham,4
1798,13,2020,Matchweek 25,West Brom,1
1799,11,2020,Matchweek 25,Sheff Utd,3
1800,59,2020,Matchweek 26,Man City,9
1801,49,2020,Matchweek 26,Man Utd,5
1802,49,2020,Matchweek 26,Leicester,7
1803,45,2020,Matchweek 26,West Ham,7
1804,43,2020,Matchweek 26,Chelsea,7
1805,41,2020,Matchweek 26,Everton,4
1806,40,2020,Matchweek 26,Liverpool,0
1807,39,2020,Matchweek 26,Tottenham,3
1808,37,2020,Matchweek 26,Aston Villa,4
1809,35,2020,Matchweek 26,Leeds,3
1810,34,2020,Matchweek 26,Arsenal,3
1811,33,2020,Matchweek 26,Wolves,7
1812,32,2020,Matchweek 26,Crystal Palace,3
1813,30,2020,Matchweek 26,Southampton,1
1814,28,2020,Matchweek 26,Burnley,5
1815,26,2020,Matchweek 26,Brighton,2
1816,25,2020,Matchweek 26,Newcastle,3
1817,22,2020,Matchweek 26,Fulham,7
1818,14,2020,Matchweek 26,West Brom,2
1819,11,2020,Matchweek 26,Sheff Utd,0
